[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1344.000 MB/s output      5.381 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  166]
[MON] S000   1566.434 MB/s output   1343.094 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  196 [1][1]=  168]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1344.000 MB/s output      5.381 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
